Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","840","United States of America","012","Algeria","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","179324","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","032","Argentina","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","58.64","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","044","Bahamas","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","104","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","050","Bangladesh","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","213423","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","052","Barbados","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","8844","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","056","Belgium","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","9499","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","084","Belize","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","13274","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","204","Benin","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","92","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","076","Brazil","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","89298","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","124","Canada","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","192467.96","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","152","Chile","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","127570","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","344","China, Hong Kong SAR","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","3102.52","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","2738215","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","158","China, Taiwan Province of","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","951269","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","170","Colombia","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","666785","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","188","Costa Rica","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","42064","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","262","Djibouti","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","121320","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","214","Dominican Republic","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","359791","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","218","Ecuador","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","280729","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","818","Egypt","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","152947","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","222","El Salvador","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","170780","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","231","Ethiopia","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","311010","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","250","France","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","400","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","268","Georgia","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","42000","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","300","Greece","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","54.62","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","308","Grenada","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","13753","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","320","Guatemala","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","236085","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","328","Guyana","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","37013","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","332","Haiti","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","146833.1","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","340","Honduras","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","298092","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","360","Indonesia","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","324216.57","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","368","Iraq","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","120.97","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","376","Israel","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","140","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","380","Italy","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","314801","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","388","Jamaica","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","182162","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","392","Japan","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","2233209.85","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","400","Jordan","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","1.66","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","404","Kenya","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","90939.66","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","414","Kuwait","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","280","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","458","Malaysia","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","221553","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","484","Mexico","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","4159731.44","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","504","Morocco","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","81695","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","508","Mozambique","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","13200","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","104","Myanmar","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","55484","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","516","Namibia","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","8800","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","558","Nicaragua","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","70432","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","566","Nigeria","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","1682175","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","591","Panama","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","141186","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","604","Peru","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","217508","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","608","Philippines","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","2806644","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","620","Portugal","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","8605","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","634","Qatar","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","25.03","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","410","Republic of Korea","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","1725778","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","662","Saint Lucia","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","6600","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","670","Saint Vincent and the Grenadines","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","23131","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","682","Saudi Arabia","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","350.96","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","702","Singapore","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","62218","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","710","South Africa","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","32400","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","144","Sri Lanka","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","59369","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","729","Sudan","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","253000","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","764","Thailand","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","628321.24","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","780","Trinidad and Tobago","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","98112.26","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","788","Tunisia","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","27000","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","784","United Arab Emirates","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","56804.68","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","826","United Kingdom of Great Britain and Northern Ireland","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","242","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","862","Venezuela (Bolivarian Republic of)","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","315393","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","704","Viet Nam","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","189718","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","887","Yemen","5910","Export Quantity","0111","Wheat","2021","2021","tonnes","516120","A","Official figure"
